Id,SalePrice
1461,129900.0
1462,157000.0
1463,143000.0
1464,165500.0
1465,153900.0
1466,185000.0
1467,143000.0
1468,168000.0
1469,175000.0
1470,129000.0
1471,324000.0
1472,88000.0
1473,106000.0
1474,148500.0
1475,80000.0
1476,325624.0
1477,233170.0
1478,385000.0
1479,319900.0
1480,386250.0
1481,260000.0
1482,202500.0
1483,174000.0
1484,160200.0
1485,184100.0
1486,174000.0
1487,250000.0
1488,192500.0
1489,208300.0
1490,239686.0
1491,202900.0
1492,135000.0
1493,241500.0
1494,290000.0
1495,260000.0
1496,324000.0
1497,216000.0
1498,151000.0
1499,147400.0
1500,147400.0
1501,168500.0
1502,148800.0
1503,394432.0
1504,254900.0
1505,260000.0
1506,190000.0
1507,320000.0
1508,190000.0
1509,154000.0
1510,167000.0
1511,167000.0
1512,167000.0
1513,140000.0
1514,150000.0
1515,135000.0
1516,160000.0
1517,147000.0
1518,143000.0
1519,260000.0
1520,135000.0
1521,142000.0
1522,167000.0
1523,135000.0
1524,135000.0
1525,135000.0
1526,145000.0
1527,100000.0
1528,135000.0
1529,141000.0
1530,167000.0
1531,135000.0
1532,115000.0
1533,142125.0
1534,135000.0
1535,135000.0
1536,115000.0
1537,60000.0
1538,168000.0
1539,265979.0
1540,117500.0
1541,135000.0
1542,135000.0
1543,239000.0
1544,100000.0
1545,128000.0
1546,131000.0
1547,135000.0
1548,135000.0
1549,110000.0
1550,135000.0
1551,125000.0
1552,135000.0
1553,127000.0
1554,135000.0
1555,190000.0
1556,135000.0
1557,125000.0
1558,110000.0
1559,135000.0
1560,125000.0
1561,136500.0
1562,130000.0
1563,135000.0
1564,135000.0
1565,154000.0
1566,260000.0
1567,141000.0
1568,240000.0
1569,135000.0
1570,147000.0
1571,113000.0
1572,129000.0
1573,324000.0
1574,60000.0
1575,260000.0
1576,190000.0
1577,198900.0
1578,127000.0
1579,145000.0
1580,190000.0
1581,154000.0
1582,135000.0
1583,305900.0
1584,267000.0
1585,140000.0
1586,72500.0
1587,116050.0
1588,143000.0
1589,141000.0
1590,125000.0
1591,115000.0
1592,115000.0
1593,115000.0
1594,100000.0
1595,135000.0
1596,239000.0
1597,200000.0
1598,160000.0
1599,275000.0
1600,275000.0
1601,60000.0
1602,110000.0
1603,135000.0
1604,275000.0
1605,260000.0
1606,170000.0
1607,171000.0
1608,201000.0
1609,155000.0
1610,167500.0
1611,140000.0
1612,201000.0
1613,145000.0
1614,91000.0
1615,97000.0
1616,88000.0
1617,88000.0
1618,129500.0
1619,145000.0
1620,87000.0
1621,143000.0
1622,135000.0
1623,275000.0
1624,240000.0
1625,135000.0
1626,149500.0
1627,181000.0
1628,236000.0
1629,168500.0
1630,324000.0
1631,212000.0
1632,212000.0
1633,180000.0
1634,185000.0
1635,185000.0
1636,173000.0
1637,190000.0
1638,190000.0
1639,190000.0
1640,250000.0
1641,190000.0
1642,254900.0
1643,202900.0
1644,254900.0
1645,197900.0
1646,175500.0
1647,175500.0
1648,140000.0
1649,135000.0
1650,120500.0
1651,124500.0
1652,100000.0
1653,106000.0
1654,148500.0
1655,148500.0
1656,148500.0
1657,155000.0
1658,148500.0
1659,125000.0
1660,160000.0
1661,385000.0
1662,325624.0
1663,315000.0
